subj cond chan win        value        gmin        tgmin   gmax        tgmax  
co03 102  FCZ  +600..+748 -1.7191e+00 -7.1143e+00   0.608  2.8277e+00   0.696
co03 102  FC6  +600..+748 -3.7308e+00 -6.5899e+00   0.612 -7.4870e-01   0.684
co03 102  C3   +600..+748 -9.2607e+00 -1.4297e+01   0.608 -5.3325e+00   0.700
co03 102  CZ   +600..+748 -2.2404e+00 -8.3458e+00   0.608  3.1840e+00   0.700
co03 102  C4   +600..+748 -8.9333e+00 -1.2306e+01   0.608 -4.7671e+00   0.696
co03 102  CP5  +600..+748 -8.1423e+00 -1.2315e+01   0.608 -4.7285e+00   0.700
co03 102  CPZ  +600..+748 -9.8712e+00 -1.5311e+01   0.608 -5.2063e+00   0.696
co03 102  CP6  +600..+748 -8.9500e+00 -1.1851e+01   0.612 -6.2960e+00   0.700
co03 102  P7   +600..+748 -1.0098e+01 -1.2309e+01   0.632 -7.2452e+00   0.728
co03 102  P3   +600..+748 -1.0436e+01 -1.5247e+01   0.608 -6.8688e+00   0.700
co03 102  PZ   +600..+748 -7.9136e+00 -1.3037e+01   0.608 -3.6573e+00   0.696
co03 102  P4   +600..+748 -9.5686e+00 -1.3304e+01   0.652 -5.9374e+00   0.696
co03 102  P8   +600..+748 -8.6647e+00 -1.1721e+01   0.652 -5.1982e+00   0.700
co03 102  PO3  +600..+748 -1.0840e+01 -1.4678e+01   0.608 -7.3014e+00   0.728
co03 102  POZ  +600..+748 -1.0545e+01 -1.5428e+01   0.608 -6.6732e+00   0.724
co03 102  PO4  +600..+748 -1.0569e+01 -1.5080e+01   0.608 -6.7349e+00   0.724
co03 102  OZ   +600..+748 -7.9253e+00 -1.2773e+01   0.608 -3.6843e+00   0.684
co03 103  F7   +600..+748  4.2856e+00  1.3492e+00   0.608  8.5554e+00   0.652
co03 103  F3   +600..+748  2.6132e+00 -8.4822e-01   0.604  5.5265e+00   0.652
co03 103  FZ   +600..+748  1.8119e+00 -9.5900e-01   0.604  5.3487e+00   0.656
co03 103  F4   +600..+748 -7.5235e-01 -4.2273e+00   0.740  2.5765e+00   0.660
co03 103  F8   +600..+748  2.8204e-01 -3.3853e+00   0.636  3.0609e+00   0.652
co03 103  FC5  +600..+748  2.1960e+00 -1.1010e+00   0.604  5.6358e+00   0.660
co03 103  FCZ  +600..+748 -4.0372e+00 -6.7306e+00   0.708 -2.7527e-01   0.656
co03 103  FC6  +600..+748 -5.5053e+00 -9.9841e+00   0.604 -2.3399e+00   0.664
co03 103  C3   +600..+748 -8.2886e+00 -1.1048e+01   0.604 -4.8032e+00   0.656
co03 103  CZ   +600..+748  2.1820e-01 -3.7107e+00   0.604  3.6923e+00   0.656
co03 103  C4   +600..+748 -8.3508e+00 -1.2138e+01   0.604 -4.6764e+00   0.656
co03 103  CP5  +600..+748 -4.1882e+00 -7.9022e+00   0.604 -1.4829e+00   0.656
co03 103  CPZ  +600..+748 -8.2597e+00 -1.2806e+01   0.604 -4.6700e+00   0.656
co03 103  CP6  +600..+748 -5.9800e+00 -1.0066e+01   0.604 -2.9760e+00   0.660
co03 103  P7   +600..+748 -3.9485e+00 -7.9050e+00   0.604 -1.8654e+00   0.736
co03 103  P3   +600..+748 -5.7082e+00 -1.0499e+01   0.604 -2.7379e+00   0.656
co03 103  PZ   +600..+748 -5.2123e+00 -1.0565e+01   0.604 -1.8392e+00   0.656
co03 103  P4   +600..+748 -4.5847e+00 -9.9421e+00   0.604 -1.6941e+00   0.656
co03 103  P8   +600..+748 -2.0906e+00 -6.3862e+00   0.604  1.0077e+00   0.700
co03 103  PO3  +600..+748 -7.3469e+00 -1.2541e+01   0.616 -4.0520e+00   0.656
co03 103  POZ  +600..+748 -6.5314e+00 -1.1977e+01   0.616 -3.4474e+00   0.656
co03 103  PO4  +600..+748 -4.7406e+00 -1.0458e+01   0.604 -1.7994e+00   0.692
co03 103  OZ   +600..+748 -1.9907e+00 -7.8826e+00   0.604  1.0983e+00   0.720
co03 104  F7   +600..+748  1.9015e+00 -1.5462e+00   0.608  5.2863e+00   0.732
co03 104  F3   +600..+748 -3.2490e-01 -2.8138e+00   0.640  3.2018e+00   0.732
co03 104  FZ   +600..+748 -1.9114e+00 -4.4189e+00   0.652  1.4273e+00   0.732
co03 104  F4   +600..+748 -2.9214e+00 -5.6464e+00   0.744  6.4787e-01   0.716
co03 104  F8   +600..+748 -1.3987e+00 -5.7212e+00   0.744  2.1805e+00   0.720
co03 104  FC5  +600..+748  7.1706e-01 -1.7465e+00   0.652  4.5101e+00   0.732
co03 104  FCZ  +600..+748 -5.2209e+00 -7.8045e+00   0.640 -1.5141e+00   0.700
co03 104  FC6  +600..+748 -5.6710e+00 -9.6907e+00   0.676 -1.3938e+00   0.708
co03 104  C3   +600..+748 -7.6454e+00 -1.0354e+01   0.640 -4.6056e+00   0.732
co03 104  CZ   +600..+748 -2.5288e+00 -6.1700e+00   0.640  2.0403e+00   0.700
co03 104  C4   +600..+748 -1.0187e+01 -1.2135e+01   0.676 -6.1269e+00   0.700
